"","Item.Type","Publication.Year","Author","Title","Publication.Title","DOI"
"810","journalArticle",1998,"Bonucci, E.; Silvestrini, G.","does apoptosis play a role in bone remodeling?","italian journal of mineral & electrolyte metabolism",""
"1010","journalArticle",2022,"Zhu, Wenyin; Dong, Wenrui; Zhang, Shuangshuang; Shuai, Yi","original alterations between autophagy and apoptosis in alveolar bone mesenchymal stem cells under orthodontic force and their effects on osteogenesis","journal of hard tissue biology",""
"194","journalArticle",2023,"Brunet, Mathieu Y.; Man, Kenny; Jones, Marie-christine; Cox, Sophie C.","development of bioinspired proteoliposomes and cell-derived nanovesicles as osteogenic synthetic extracellular vesicles for bone regeneration","tissue engineering part a",""
"200","journalArticle",2022,"Toh, Wei Seong; Yong, Chee Weng; Chuah, Shang Jiunn; Wong, Raymond; Lim, Asher; Lim, Sai Kiang","mesenchymal stem cell-derived small extracellular vesicles promote bone regeneration through a multi-faceted mechanism of action","tissue engineering part a",""
"209","journalArticle",2023,"Man, Kenny","controlled delivery of epigenetically activated extracellular vesicles from a gelma/nanoclay hydrogel for bone regeneration","tissue engineering part a",""
"220","journalArticle",2022,"Brunet, Mathieu; Man, Kenny; Fernandez-Rhodes, Maria; Davies, Owen; Jones, Marie-Christine; Cox, Sophie","development of biomimetic proteoliposomes as synthetic osteogenic extracellular vesicles for bone regeneration","tissue engineering part a",""
"229","journalArticle",2023,"Rana, Neha; Suliman, Salwa; Al-Sharabi, Niyaz; Mustafa, Kamal","macrophage mediated immunomodulation by extracellular vesicles derived from mesenchymal stromal cells combined with biphasic calcium phosphate granules for bone regeneration","tissue engineering part a",""
"253","journalArticle",2021,"Chuah, S.; Yong, C.; Chew, J.; Cheow, Y.; Teo, K.; Zhang, S.; Lai, R.; Wong, R.; Lim, A.; Lim, S.; Toh, W.","mesenchymal stromal cell-derived small extracellular vesicles promote angio-osteogenesis and modulate macrophage polarization to enhance bone regeneration","cytotherapy",""
"275","journalArticle",2022,"Man, Kenny; Louth, Sophie; Brunet, Mathieu; Hoey, David; Cox, Sophie","the influence of scaffold architecture and composition on osteoblast-derived extracellular vesicles therapeutic efficacy for bone regeneration","tissue engineering part a",""
"278","journalArticle",2022,"Man, Kenny; Brunet, Mathieu; Fernandez-Rhodes, Maria; Williams, Soraya; Davies, Owen; Federici, Angelica; Hoey, David; Cox, Sophie","epigenetic reprogramming enhances the therapeutic efficacy of osteoblast-derived extracellular vesicles for bone regeneration","tissue engineering part a",""
"311","journalArticle",2017,"Behera, Jyotirmaya; Zhai, Yuankun; Bala, Jyoti; Tyagi, Suresh C.; Tyagi, Neetu","mesenchymal stem cells derived exosomes promotes bone regeneration through cystathionine-β-synthase enhanced angiogenesis and osteogenesis during bone development","faseb journal",""
"745","journalArticle",2018,"Urabe, Fumihiko; Yoshioka, Yusuke; Ochiya, Takahiro","[the biological role of exosomes in bone remodeling and bone diseases.]","clinical calcium",""
"1100","journalArticle",2021,"Ma, Qinyu; Liang, Mengmeng; Wu, Yutong; Luo, Fei; Ma, Zaisong; Dong, Shiwu; Xu, Jianzhong; Dou, Ce","osteoclast-derived apoptotic bodies couple bone resorption and formation in bone remodeling","bone research","10.1038/s41413-020-00121-1"
"2100","journalArticle",2020,"Ma, Qinyu; Liang, Mengmeng; Limjunyawong, Nathachit; Dan, Yang; Xing, Junchao; Li, Jianmei; Xu, Jianzhong; Dou, Ce","osteoclast-derived apoptotic bodies show extended biological effects of parental cell in promoting bone defect healing","theranostics","10.7150/thno.45170"
"3100","journalArticle",2023,"Wu, Yutong; Ai, Hongbo; Xi, Yuhang; Tan, Jiulin; Qu, Ying; Xu, Jianzhong; Luo, Fei; Dou, Ce","osteoclast-derived apoptotic bodies inhibit naive cd8+t cell activation via siglec15, promoting breast cancer secondary metastasis","cell reports medicine","10.1016/j.xcrm.2023.101165"
"418","journalArticle",1999,"Olmedo, M. L.; Landry, P. S.; Sadasivan, K. K.; Albright, J. A.; Meek, W. D.; Routh, R.; Marino, A. A.","regulation of osteoblast levels during bone healing","journal of orthopaedic trauma","10.1097/00005131-199906000-00006"
"510","journalArticle",2019,"Ma, Qinyu; Liang, Mengmeng; Wu, Yutong; Ding, Ning; Duan, Lianli; Yu, Tao; Bai, Yun; Kang, Fei; Dong, Shiwu; Xu, Jianzhong; Dou, Ce","mature osteoclast-derived apoptotic bodies promote osteogenic differentiation via rankl-mediated reverse signaling","journal of biological chemistry","10.1074/jbc.RA119.007625"
"710","journalArticle",2023,"Han, Pingping; Johnson, Nigel; Abdal-hay, Abdalla; Moran, Corey S. S.; Salomon, Carlos; Ivanovski, Saso","effects of periodontal cells-derived extracellular vesicles on mesenchymal stromal cell function","journal of periodontal research","10.1111/jre.13171"
"910","journalArticle",2001,"Noxon, S. J.; King, G. J.; Gu, G. M.; Huang, G.","osteoclast clearance from periodontal tissues during orthodontic tooth movement","american journal of orthodontics and dentofacial orthopedics","10.1067/mod.2001.117912"
"1110","journalArticle",2021,"Cao, Zhongliu; Wu, Yanfeng; Yu, Lingling; Zou, Lingfeng; Yang, Liu; Lin, Sijian; Wang, Jue; Yuan, Zhen; Dai, Jianghua","exosomal mir-335 derived from mature dendritic cells enhanced mesenchymal stem cell-mediated bone regeneration of bone defects in athymic rats","molecular medicine","10.1186/s10020-021-00268-5"
"1210","journalArticle",2023,"Yang, Fan; Wu, Mingjian; Chen, Haojie; Ma, Shengli; Liu, Jiahe; Li, Chenzhi; Li, Yancheng; Yang, Jiahui; Liu, Baoyi; Zhao, Dewei","combination therapy with bmscs-exosomes and porous tantalum for the repair of femur supracondylar defects","molecular medicine reports","10.3892/mmr.2023.13017"
"1310","journalArticle",2022,"Zhao, Yang; Gong, Yujia; Liu, Xianbo; He, Jia; Zheng, Bowen; Liu, Yi","the experimental study of periodontal ligament stem cells derived exosomes with hydrogel accelerating bone regeneration on alveolar bone defect","pharmaceutics","10.3390/pharmaceutics14102189"
"1610","journalArticle",2021,"Imanishi, Yuka; Hata, Masaki; Matsukawa, Ryohei; Aoyagi, Atsushi; Omi, Maiko; Mizutani, Makoto; Naruse, Keiko; Ozawa, Shogo; Honda, Masaki; Matsubara, Tatsuaki; Takebe, Jun","efficacy of extracellular vesicles from dental pulp stem cells for bone regeneration in rat calvarial bone defects","inflammation and regeneration","10.1186/s41232-021-00163-w"
"1710","journalArticle",2023,"Zhao, Xiaoying; Chen, Ximiao; Deng, Yuxin; Wu, Chenyu; Ruan, Zihang; Li, Chenchao; Chen, Yu; Bei, Chaoyong; Zhu, Linyong; Yu, Huachen; Zhang, Xiaolei","a novel adhesive dual-sensitive hydrogel for sustained release of exosomes derived from m2 macrophages promotes repair of bone defects","materials today bio","10.1016/j.mtbio.2023.100840"
"1810","journalArticle",2023,"Sun, Xiaodi; Mao, Yupu; Liu, Beibei; Gu, Ke; Liu, Han; Du, Wei; Li, Ruixin; Zhang, Jian","mesenchymal stem cell-derived exosomes enhance 3d-printed scaffold functions and promote alveolar bone defect repair by enhancing angiogenesis","journal of personalized medicine","10.3390/jpm13020180"
"2110","journalArticle",2020,"Ying, Chenting; Wang, Rui; Wang, Zhenlin; Tao, Jie; Yin, Wenjing; Zhang, Jieyuan; Yi, Chengqing; Qi, Xin; Han, Dan","bmsc-exosomes carry mutant hif-1α for improving angiogenesis and osteogenesis in critical-sized calvarial defects","frontiers in bioengineering and biotechnology","10.3389/fbioe.2020.565561"
"2210","journalArticle",2022,"Tao, Shi-Cong; Li, Xu-Ran; Wei, Wen-Jia; Wei, Zhan-Ying; Zhang, Chang-Ru; Wang, Fei; Dawes, Helen; Guo, Shang-Chun","polymeric coating on β-tcp scaffolds provides immobilization of small extracellular vesicles with surface-functionalization and zeb1-loading for bone defect repair in diabetes mellitus","biomaterials","10.1016/j.biomaterials.2022.121465"
"2310","journalArticle",2016,"Qi, Xin; Zhang, Jieyuan; Yuan, Hong; Xu, Zhengliang; Li, Qing; Niu, Xin; Hu, Bin; Wang, Yang; Li, Xiaolin","exosomes secreted by human-induced pluripotent stem cell-derived mesenchymal stem cells repair critical-sized bone defects through enhanced angiogenesis and osteogenesis in osteoporotic rats","international journal of biological sciences","10.7150/ijbs.14809"
"2610","journalArticle",2023,"He, Longlong; Zhou, Qin; Zhang, Hengwei; Zhao, Ningbo; Liao, Lifan","pf127 hydrogel-based delivery of exosomal ctnnb1 from mesenchymal stem cells induces osteogenic differentiation during the repair of alveolar bone defects","nanomaterials","10.3390/nano13061083"
"2710","journalArticle",2023,"Xiang, Xi; Pathak, Janak Lal; Wu, Wenbin; Li, Jianwen; Huang, Wenyan; Wu, Qiuyu; Xin, Mengyu; Wu, Yuejun; Huang, Yuhang; Ge, Linhu; Zeng, Sujuan","human serum-derived exosomes modulate macrophage inflammation to promote vcam1-mediated angiogenesis and bone regeneration","journal of cellular and molecular medicine","10.1111/jcmm.17727"
"3010","journalArticle",2023,"Li, Gen; Zhang, Yin; Wu, Jiezhou; Yang, Renhao; Sun, Qi; Xu, Yidong; Wang, Bo; Cai, Ming; Xu, Yang; Zhuang, Chengyu; Wang, Lei","adipose stem cells-derived exosomes modified gelatin sponge promotes bone regeneration","frontiers in bioengineering and biotechnology","10.3389/fbioe.2023.1096390"
"3110","journalArticle",2023,"Peng, Ge; Li, Wei; Peng, Linrui; Li, Ruoqing; Wang, Zhenghao; Zhou, Ye; Gou, Liping; Zhu, Xinyue; Xie, Qingxing; Zhang, Xinyi; Shen, Sumin; Wu, Lei; Hu, Liqiang; Wang, Chengshi; Zheng, Xiaofeng; Tong, Nanwei","multifunctional dna-based hydrogel promotes diabetic alveolar bone defect reconstruction","small","10.1002/smll.202305594"
"3210","journalArticle",2020,"Yang, Shuo; Zhu, Biao; Yin, Peng; Zhao, Lisheng; Wang, Yizhu; Fu, Zhiguang; Dang, Ruijie; Xu, Juan; Zhang, Jianjun; Wen, Ning","integration of human umbilical cord mesenchymal stem cells-derived exosomes with hydroxyapatite-embedded hyaluronic acid-alginate hydrogel for bone regeneration","acs biomaterials science & engineering","10.1021/acsbiomaterials.9b01363"
"3410","journalArticle",2022,"Jing, Xuan; Wang, Si; Tang, Han; Li, Dize; Zhou, Fuyuan; Xin, Liangjing; He, Qingqing; Hu, Shanshan; Zhang, Tingwei; Chen, Tao; Song, Jinlin","dynamically bioresponsive dna hydrogel incorporated with dual-functional stem cells from apical papilla-derived exosomes promotes diabetic bone regeneration","acs applied materials & interfaces","10.1021/acsami.2c02278"
"3510","journalArticle",2023,"Lu, Tingwei; Liu, Yuanqi; Huang, Xiangru; Sun, Siyuan; Xu, Hongyuan; Jin, Anting; Wang, Xinyu; Gao, Xin; Liu, Jingyi; Zhu, Yanfei; Dai, Qinggang; Wang, Chao; Lin, Kaili; Jiang, Lingyong","early-responsive immunoregulation therapy improved microenvironment for bone regeneration via engineered extracellular vesicles","advanced healthcare materials","10.1002/adhm.202303681"
"3610","journalArticle",2022,"Yi, Genzheng; Zhang, Siyuan; Ma, Yue; Yang, Xueting; Huo, Fangjun; Chen, Yan; Yang, Bo; Tian, Weidong","matrix vesicles from dental follicle cells improve alveolar bone regeneration via activation of the plc/pkc/mapk pathway","stem cell research & therapy","10.1186/s13287-022-02721-6"
"3710","journalArticle",2022,"Wu, Di; Qin, Hao; Wang, Zixuan; Yu, Mingzhao; Liu, Zhe; Peng, Hao; Liang, Leilei; Zhang, Changqing; Wei, Xiaojuan","bone mesenchymal stem cell-derived sev-encapsulated thermosensitive hydrogels accelerate osteogenesis and angiogenesis by release of exosomal mir-21","frontiers in bioengineering and biotechnology","10.3389/fbioe.2021.829136"
"3910","journalArticle",2022,"Su, Yanlin; Gao, Qing; Deng, Rongli; Zeng, Lian; Guo, Jingyi; Ye, Bing; Yu, Jialin; Guo, Xiaodong","aptamer engineering exosomes loaded on biomimetic periosteum to promote angiogenesis and bone regeneration by targeting injured nerves via jnk3 mapk pathway","materials today bio","10.1016/j.mtbio.2022.100434"
"419","journalArticle",2022,"Wang, Ning; Liu, Xuanchen; Tang, Zhen; Wei, Xinghui; Dong, Hui; Liu, Yichao; Wu, Hao; Wu, Zhigang; Li, Xiaokang; Ma, Xue; Guo, Zheng","increased bmsc exosomal <i>mir</i>-<i>140</i>-<i>3p</i> alleviates bone degradation and promotes bone restoration by targeting <i>plxnb1</i> in diabetic rats","journal of nanobiotechnology","10.1186/s12951-022-01267-2"
"421","journalArticle",2021,"Xing, Xin; Han, Shuang; Ni, Yifeng; Cheng, Gu; Cheng, Yuet; Ni, Xiaoqi; Deng, Yunfan; Li, Zhi; Li, Zubing","mussel-inspired functionalization of electrospun scaffolds with polydopamine-assisted immobilization of mesenchymal stem cells-derived small extracellular vesicles for enhanced bone regeneration","international journal of pharmaceutics","10.1016/j.ijpharm.2021.121136"
"431","journalArticle",2023,"Qiao, Fangyu; Zou, Yang; Bie, Binglin; Lv, Yonggang","dual sirna-loaded cell membrane functionalized matrix facilitates bone regeneration with angiogenesis and neurogenesis","small","10.1002/smll.202307062"
"441","journalArticle",2022,"Bahar, Dilek; Gonen, Zeynep Burcin; Gumusderelioglu, Menemse; Onger, Mehmet Emin; Tokak, Elvan Konuk; Ozturk-Kup, Fatma; Ozkan, Buket Banu; Gokdemir, Nur Seda; Cetin, Mustafa","repair of rat calvarial bone defect by using exosomes of umbilical cord-derived mesenchymal stromal cells embedded in chitosan/hydroxyapatite scaffolds","international journal of oral & maxillofacial implants","10.11607/jomi.9515"
"451","journalArticle",2024,"Zhou, Yi-kun; Han, Chun-shan; Zhu, Zi-lu; Chen, Peng; Wang, Yi-ming; Lin, Shuai; Chen, Liu-jing; Zhuang, Zi-meng; Zhou, Yan-heng; Yang, Rui-li","m2 exosomes modified by hydrogen sulfide promoted bone regeneration by moesin mediated endocytosis","bioactive materials","10.1016/j.bioactmat.2023.08.006"
"461","journalArticle",2023,"Han, Shuang; Yang, Hongye; Ni, Xiaoqi; Deng, Yunfan; Li, Zubing; Xing, Xin; Du, Minquan","programmed release of vascular endothelial growth factor and exosome from injectable chitosan nanofibrous microsphere-based plga-peg-plga hydrogel for enhanced bone regeneration","international journal of biological macromolecules","10.1016/j.ijbiomac.2023.126721"
"491","journalArticle",2023,"Shi, Wentao; Gao, Yan; Wu, Yiqing; Tang, Yushi; Bian, Lu; Que, Yunduan; Lv, Long; Xu, Bai; Tang, Hong; Lu, Xiaojie; Wang, Qing","human nasal mucosa ectomesenchymal stem cells derived extracellular vesicles loaded omentum/chitosan composite scaffolds enhance skull defects regeneration","international journal of biological macromolecules","10.1016/j.ijbiomac.2023.125924"
"501","journalArticle",2023,"Antich-Rossello, Miquel; Forteza-Genestra, Maria Antonia; Ronold, Hans Jacob; Lyngstadaas, Staale Petter; Garcia-Gonzalez, Mario; Permuy, Maria; Lopez-Pena, Monica; Munoz, Fernando; Monjo, Marta; Ramis, Joana M.","platelet-derived extracellular vesicles formulated with hyaluronic acid gels for application at the bone-implant interface: an animal study","journal of orthopaedic translation","10.1016/j.jot.2023.05.009"
"511","journalArticle",2022,"Guo, Jia; Zhou, Feng; Liu, Zhi; Cao, Yuan; Zhao, Wanming; Zhang, Zheru; Zhai, Qiming; Jin, Yan; Li, Bei; Jin, Fang","exosome-shuttled mitochondrial transcription factor a mrna promotes the osteogenesis of dental pulp stem cells through mitochondrial oxidative phosphorylation activation","cell proliferation","10.1111/cpr.13324"
"521","journalArticle",2018,"Diomede, Francesca; Gugliandolo, Agnese; Cardelli, Paolo; Merciaro, Ilaria; Ettorre, Valeria; Traini, Tonino; Bedini, Rossella; Scionti, Domenico; Bramanti, Alessia; Nanci, Antonio; Caputi, Sergio; Fontana, Antonella; Mazzon, Emanuela; Trubiani, Oriana","three-dimensional printed pla scaffold and human gingival stem cell-derived extracellular vesicles: a new tool for bone defect repair","stem cell research & therapy","10.1186/s13287-018-0850-0"
"531","journalArticle",2016,"Zhang, Jieyuan; Liu, Xiaolin; Li, Haiyan; Chen, Chunyuan; Hu, Bin; Niu, Xin; Li, Qing; Zhao, Bizeng; Xie, Zongping; Wang, Yang","exosomes/tricalcium phosphate combination scaffolds can enhance bone regeneration by activating the pi3k/akt signaling pathway","stem cell research & therapy","10.1186/s13287-016-0391-3"
"542","journalArticle",2023,"Luo, Xin; Meng, Chunxiu; Zhang, Yujue; Du, Qicui; Hou, Caiyao; Qiang, Huifen; Liu, Kun; Lv, Zhaoyong; Li, Jun; Liu, Fengzhen","microrna-21a-5p-modified macrophage exosomes as natural nanocarriers promote bone regeneration by targeting gata2","regenerative biomaterials","10.1093/rb/rbad075"
"581","journalArticle",2021,"Kim, Do Kyung; Lee, Sanghyuk; Kim, Minjeong; Jeong, Yunhui; Lee, Soonchul","exosome-coated silk fibroin 3d-scaffold for inducing osteogenic differentiation of bone marrow derived mesenchymal stem cells","chemical engineering journal","10.1016/j.cej.2020.127080"
"601","journalArticle",2023,"Wang, Rui; Liao, Li; Huang, Xiaojun; Ma, Shixing; Wang, Shuang; Qiao, Hu; Zhou, Hong; Zou, Jing; Su, Xiaoxia","mechano-responsive microrna-functionalized pdlsc exosomes as a novel therapeutic for inflammatory bone loss in periodontitis","chemical engineering journal","10.1016/j.cej.2023.141488"
"611","journalArticle",2022,"Wang, Yangyufan; Kong, Bin; Chen, Xiang; Liu, Rui; Zhao, Yuanjin; Gu, Zhuxiao; Jiang, Qing","bmsc exosome-enriched acellular fish scale scaffolds promote bone regeneration","journal of nanobiotechnology","10.1186/s12951-022-01646-9"
"621","journalArticle",2022,"Yu, Wenting; Li, Shengnan; Guan, Xiuchen; Zhang, Ning; Xie, Xianju; Zhang, Ke; Bai, Yuxing","higher yield and enhanced therapeutic effects of exosomes derived from mscs in hydrogel-assisted 3d culture system for bone regeneration","biomaterials advances","10.1016/j.msec.2022.112646"
"641","journalArticle",2023,"Hao, Liuzhi; Huang, Shuwen; Huang, Tongling; Yi, Dan; Wang, Chenmin; Cheng, Lixin; Guan, Min; Wu, Jun; Chen, Di; Pan, Haobo; Lu, William W.; Zhao, Xiaoli","bone targeting mir-26a loaded exosome-mimetics for bone regeneration therapy by activating wnt signaling pathway","chemical engineering journal","10.1016/j.cej.2023.144594"
"651","journalArticle",2021,"Liu, Wei; Huang, Jinghuan; Chen, Feng; Xie, Dong; Wang, Longqing; Ye, Cheng; Zhu, Qi; Li, Xiang; Li, Xiaolin; Yang, Lili","msc-derived small extracellular vesicles overexpressing mir-20a promoted the osteointegration of porous titanium alloy by enhancing osteogenesis via targeting bambi","stem cell research & therapy","10.1186/s13287-021-02303-y"
"661","journalArticle",2022,"Gao, Yike; Yuan, Zuoying; Yuan, Xiaojing; Wan, Zhuo; Yu, Yingjie; Zhan, Qi; Zhao, Yuming; Han, Jianmin; Huang, Jianyong; Xiong, Chunyang; Cai, Qing","bioinspired porous microspheres for sustained hypoxic exosomes release and vascularized bone regeneration","bioactive materials","10.1016/j.bioactmat.2022.01.041"
"691","journalArticle",2023,"Kang, Yue; Xu, Jie; Meng, Ling'ao; Su, Ya; Fang, Huan; Liu, Jiaqi; Cheng, Yuen Yee; Jiang, Daqing; Nie, Yi; Song, Kedong","3d bioprinting of decm/gel/qcs/nhap hybrid scaffolds laden with mesenchymal stem cell-derived exosomes to improve angiogenesis and osteogenesis","biofabrication","10.1088/1758-5090/acb6b8"
"701","journalArticle",2023,"Gupta, Sneha; Qayoom, Irfan; Gupta, Purva; Gupta, Archita; Singh, Prerna; Singh, Sneha; Kumar, Ashok","exosome-functionalized, drug-laden bone substitute along with an antioxidant herbal membrane for bone and periosteum regeneration in bone sarcoma","acs applied materials & interfaces","10.1021/acsami.2c18308"
"711","journalArticle",2023,"Moradi, Nahid; Soufi-Zomorrod, Mina; Hosseinzadeh, Simzar; Soleimani, Masoud","poly (acrylic acid)/tricalcium phosphate nanoparticles scaffold enriched with exosomes for cell-free therapy in bone tissue engineering: an<i> in</i><i> vivo</i> evaluation","bioimpacts","10.34172/bi.2023.27510"
"721","journalArticle",2018,"Li, Wenyue; Liu, Yunsong; Zhang, Ping; Tang, Yiman; Zhou, Miao; Jiang, Weiran; Zhang, Xiao; Wu, Gang; Zhou, Yongsheng","tissue-engineered bone immobilized with human adipose stem cells-derived exosomes promotes bone regeneration","acs applied materials & interfaces","10.1021/acsami.7b17620"
"731","journalArticle",2023,"Faqeer, Abdullah; Wang, Mengzhen; Alam, Gulzar; Padhiar, Arshad Ahmed; Zheng, Dexiu; Luo, Zhiming; Zhao, Irene Shuping; Zhou, Guangqian; van den Beucken, Jeroen J. J. P.; Wang, Huanan; Zhang, Yang","cleaved spp1-rich extracellular vesicles from osteoclasts promote bone regeneration via tgfβ1/smad3 signaling","biomaterials","10.1016/j.biomaterials.2023.122367"
"742","journalArticle",2023,"Ranjbar, Faezeh Esmaeili; Ranjbar, Afsaneh Esmaeili; Malekshahi, Ziba Veisi; Taghdiri-Nooshabadi, Zahra; Faradonbeh, Davood Rabiei; Youseflee, Pouya; Ghasemi, Sahar; Vatanparast, Mahboubeh; Azim, Fazli; Nooshabadi, Vajihe Taghdiri","bone tissue regeneration by 58s bioactive glass scaffolds containing exosome: an in vivo study","cell and tissue banking","10.1007/s10561-023-10120-1"
"761","journalArticle",2017,"Gimona, Mario; Pachler, Karin; Laner-Plamberger, Sandra; Schallmoser, Katharina; Rohde, Eva","manufacturing of human extracellular vesicle-based therapeutics for clinical use","international journal of molecular sciences","10.3390/ijms18061190"
"781","journalArticle",2022,"Cheng, Pengzhen; Cao, Tianqing; Zhao, Xueyi; Lu, Weiguang; Miao, Sheng; Ning, Fenru; Wang, Dong; Gao, Yi; Wang, Long; Pei, Guoxian; Yang, Liu","nidogen1-enriched extracellular vesicles accelerate angiogenesis and bone regeneration by targeting myosin-10 to regulate endothelial cell adhesion","bioactive materials","10.1016/j.bioactmat.2021.10.021"
"801","journalArticle",2022,"Kang, Yue; Xu, Chang; Meng, Lingao; Dong, Xufeng; Qi, Min; Jiang, Daqing","exosome-functionalized magnesium-organic framework-based scaffolds with osteogenic, angiogenic and anti-inflammatory properties for accelerated bone regeneration","bioactive materials","10.1016/j.bioactmat.2022.02.012"
"811","journalArticle",2022,"Xu, Hailun; Chai, Qihao; Xu, Xianxing; Li, Ziyang; Bao, Wenfei; Man, Zhentao; Li, Wei","exosome-functionalized ti6al4v scaffolds promoting osseointegration by modulating endogenous osteogenesis and osteoimmunity","acs applied materials & interfaces","10.1021/acsami.2c11102"
"821","journalArticle",2019,"Liang, Bo; Liang, Jia-Ming; Ding, Jia-Ning; Xu, Jia; Xu, Jian-Guang; Chai, Yi-Min","dimethyloxaloylglycine-stimulated human bone marrow mesenchymal stem cell-derived exosomes enhance bone regeneration through angiogenesis by targeting the akt/mtor pathway","stem cell research & therapy","10.1186/s13287-019-1410-y"
"831","journalArticle",2019,"Sun, Ruinan; Xu, Shuyu; Wang, Zuolin","rat sinus mucosa- and periosteum-derived exosomes accelerate osteogenesis","journal of cellular physiology","10.1002/jcp.28758"
"851","journalArticle",2023,"Lee, A. E.; Choi, J. G.; Shi, S. H.; He, P.; Zhang, Q. Z.; Le, A. D.","dpsc-derived extracellular vesicles promote rat jawbone regeneration","journal of dental research","10.1177/00220345221133716"
"861","journalArticle",2022,"Lan, Yanhua; Xie, Huizhi; Jin, Qianrui; Zhao, Xiaomin; Shi, Yang; Zhou, Yanyan; Hu, Zihe; Ye, Yi; Huang, Xiaoyuan; Sun, Yingjia; Chen, Zhuo; Xie, Zhijian","extracellular vesicles derived from neural egfl-like 1-modified mesenchymal stem cells improve acellular bone regeneration via the mir-25-5p-smad2 signaling axis","bioactive materials","10.1016/j.bioactmat.2022.01.019"
"871","journalArticle",2020,"Liu, Anqi; Jin, Shanshan; Fu, Cuicui; Cui, Shengji; Zhang, Ting; Zhu, Lisha; Wang, Yu; Shen, Steve G. F.; Jiang, Nan; Liu, Yan","macrophage-derived small extracellular vesicles promote biomimetic mineralized collagen-mediated endogenous bone regeneration","international journal of oral science","10.1038/s41368-020-00100-6"
"881","journalArticle",2021,"Xia, Wei; Xie, Jing; Cai, Zhiqing; Liu, Xuhua; Wen, Jing; Cui, Zhong-Kai; Zhao, Run; Zhou, Xiaomei; Chen, Jiahui; Mao, Xinru; Gu, Zhengtao; Zou, Zhimin; Zou, Zhipeng; Zhang, Yue; Zhao, Ming; Mac, Maegele; Song, Qiancheng; Bai, Xiaochun","damaged brain accelerates bone healing by releasing small extracellular vesicles that target osteoprogenitors","nature communications","10.1038/s41467-021-26302-y"
"891","journalArticle",2023,"Ma, Chunhui; Wang, Tao; Jin, Xinmeng; Zhang, Wanglin; Lv, Qi","lineage-specific multifunctional double-layer scaffold accelerates the integrated regeneration of cartilage and subchondral bone","materials today bio","10.1016/j.mtbio.2023.100800"
"921","journalArticle",2022,"Lei, Fengzhen; Li, Mujia; Lin, Tingting; Zhou, Hong; Wang, Fei; Su, Xiaoxia","treatment of inflammatory bone loss in periodontitis by stem cell-derived exosomes","acta biomaterialia","10.1016/j.actbio.2021.12.035"
"931","journalArticle",2020,"Miszuk, Jacob M.; Hu, Jue; Sun, Hongli","biomimetic nanofibrous 3d materials for craniofacial bone tissue engineering","acs applied bio materials","10.1021/acsabm.0c00946"
"941","journalArticle",2023,"Sun, Jinru; Li, Guangfeng; Wu, Shunli; Zou, Yiming; Weng, Weizong; Gai, Tingting; Chen, Xiao; Zhang, Kun; Zhou, Fengjin; Wang, Xiuhui; Su, Jiacan","engineering preparation and sustained delivery of bone functional exosomes-laden biodegradable hydrogel for<i> in</i><i> situ</i> bone regeneration","composites part b-engineering","10.1016/j.compositesb.2023.110803"
"951","journalArticle",2024,"Wang, Feng; Li, Shanyu; Kong, Lingchi; Feng, Kai; Zuo, Rongtai; Zhang, Hanzhe; Yu, Yifan; Zhang, Kunqi; Cao, Yuting; Chai, Yimin; Kang, Qinglin; Xu, Jia","tensile stress-activated and exosome-transferred yap/taz-notch circuit specifies type h endothelial cell for segmental bone regeneration","advanced science","10.1002/advs.202309133"
"961","journalArticle",2020,"Jin, Qiaoqiao; Li, Peilun; Yuan, Keyong; Zhao, Fen; Zhu, Xiaohan; Zhang, Pengfei; Huang, Zhengwei","extracellular vesicles derived from human dental pulp stem cells promote osteogenesis of adipose-derived stem cells via the mapk pathway","journal of tissue engineering","10.1177/2041731420975569"
"981","journalArticle",2021,"Zhao, Wenbo; Hu, Junxian; He, Qingyi","the effect of the wkymvm peptide on promoting mbmsc secretion of exosomes to induce m2 macrophage polarization through the fpr2 pathway","journal of orthopaedic surgery and research","10.1186/s13018-021-02321-9"
"991","journalArticle",2020,"Jia, Yachao; Qiu, Shuo; Xu, Jia; Kang, Qinglin; Chai, Yimin","exosomes secreted by young mesenchymal stem cells promote new bone formation during distraction osteogenesis in older rats","calcified tissue international","10.1007/s00223-019-00656-4"
"1001","journalArticle",2021,"Zhang, Baokun; Huang, Jinghuan; Liu, Jingwen; Lin, Fangqi; Ding, Zhenyu; Xu, Jianguang","injectable composite hydrogel promotes osteogenesis and angiogenesis in spinal fusion by optimizing the bone marrow mesenchymal stem cell microenvironment and exosomes secretion","materials science & engineering c-materials for biological applications","10.1016/j.msec.2020.111782"
"1011","journalArticle",2023,"Xu, Tong; Hua, Yongmei; Mei, Peng; Zeng, Deliang; Jiang, Shengjie; Liao, Chongshan","black phosphorus thermosensitive hydrogels loaded with bone marrow mesenchymal stem cell-derived exosomes synergistically promote bone tissue defect repair","journal of materials chemistry b","10.1039/d3tb00341h"
"1021","journalArticle",2023,"Tian, Jun; Chen, Weiyang; Xiong, Yuhua; Li, Qianer; Kong, Siyi; Li, Mengjie; Pang, Chunfeng; Qiu, Yu; Xu, Zhezhen; Gong, Qimei; Wei, Xi","small extracellular vesicles derived from hypoxic preconditioned dental pulp stem cells ameliorate inflammatory osteolysis by modulating macrophage polarization and osteoclastogenesis","bioactive materials","10.1016/j.bioactmat.2022.10.001"
