"","Item.Type","Publication.Year","Author","Title","Publication.Title","DOI"
"359","journalArticle",2023,"Cui, Ya; Hong, Shebin; Xia, Yunhui; Li, Xiaojing; He, Xiaoya; Hu, Xiangying; Li, Yaxin; Wang, Xudong; Lin, Kaili; Mao, Lixia","melatonin engineering m2 macrophage-derived exosomes mediate endoplasmic reticulum stress and immune reprogramming for periodontitis therapy","advanced science","10.1002/advs.202302029"
"360","journalArticle",2021,"Wang, Yue; Zheng, Yunfei; Li, Weiran","exosomes derived from osteoclasts under compression stress inhibit osteoblast differentiation","biocell","10.32604/biocell.2021.013960"
"361","journalArticle",2020,"Raimondi, Lavinia; De Luca, Angela; Gallo, Alessia; Costa, Viviana; Russelli, Giovanna; Cuscino, Nicola; Manno, Mauro; Raccosta, Samuele; Carina, Valeria; Bellavia, Daniele; Conigliaro, Alice; Alessandro, Riccardo; Fini, Milena; Conaldi, Pier Giulio; Giavaresi, Gianluca","osteosarcoma cell-derived exosomes affect tumor microenvironment by specific packaging of micrornas","carcinogenesis","10.1093/carcin/bgz130"
"362","journalArticle",2024,"Huang, Xin; Deng, Yifei; Xiao, Junhong; Wang, Huiyi; Yang, Qiudong; Cao, Zhengguo","genetically engineered m2-like macrophage-derived exosomes for<i> p.</i> gingivalis-suppressed cementum regeneration: from mechanism to therapy","bioactive materials","10.1016/j.bioactmat.2023.10.009"
"363","journalArticle",2019,"Du, Wenhua; Su, Lingkai; Zhang, Ning; Wang, Huiming","exosomes derived from preadipocytes improve osteogenic differentiation, potentially via reduced mir-223 expression","molecular medicine reports","10.3892/mmr.2018.9760"
"364","journalArticle",2023,"Hu, Yingzhe; Wang, Zhiguo; Fan, Chun; Gao, Pengyu; Wang, Wenxuan; Xie, Yutong; Xu, Quanchen","human gingival mesenchymal stem cell-derived exosomes cross-regulate the wnt/β-catenin and nf-κb signalling pathways in the periodontal inflammation microenvironment","journal of clinical periodontology","10.1111/jcpe.13798"
"365","journalArticle",2020,"Yun, B.; Maburutse, B. E.; Kang, M.; Park, M. R.; Park, D. J.; Kim, Y.; Oh, S.","<i>short communication</i>: dietary bovine milk-derived exosomes improve bone health in an osteoporosis-induced mouse model","journal of dairy science","10.3168/jds.2019-17501"
"366","journalArticle",2021,"Go, Yoon Young; Chae, Sung-won; Song, Jae-Jun","osteogenic effects of exosomes derived from human chorion membrane extracts","biomaterials research","10.1186/s40824-021-00218-6"
"367","journalArticle",2016,"Narayanan, Raghuvaran; Huang, Chun-Chieh; Ravindran, Sriram","hijacking the cellular mail: exosome mediated differentiation of mesenchymal stem cells","stem cells international","10.1155/2016/3808674"
"368","journalArticle",2021,"Nan, Kai; Zhang, Yuankai; Zhang, Xin; Li, Dong; Zhao, Yan; Jing, Zhaopu; Liu, Kang; Shang, Donglong; Geng, Zilong; Fan, Lihong","exosomes from mirna-378-modified adipose-derived stem cells prevent glucocorticoid-induced osteonecrosis of the femoral head by enhancing angiogenesis and osteogenesis via targeting mir-378 negatively regulated suppressor of fused (sufu)","stem cell research & therapy","10.1186/s13287-021-02390-x"
"369","journalArticle",2023,"Wu, Jin; Zhang, Licheng; Liu, Hui; Zhang, Jinhui; Tang, Peifu","exosomes promote hfob1.19 proliferation and differentiation via linc00520","journal of orthopaedic surgery and research","10.1186/s13018-023-04021-y"
"370","journalArticle",2022,"Kunimatsu, Ryo; Hiraki, Tomoka; Rikitake, Kodai; Nakajima, Kengo; Putranti, Nurul Aisyah Rizky; Abe, Takaharu; Ando, Kazuyo; Nakatani, Ayaka; Sakata, Shuzo; Tanimoto, Kotaro","effects of human deciduous dental pulp-derived mesenchymal stem cell-derived conditioned medium on the metabolism of huvecs, osteoblasts, and bmscs","cells","10.3390/cells11203222"
"371","journalArticle",2023,"Xu, Chenyue; Mi, Ziyue; Dong, Zhenyue; Chen, Xiaobo; Ji, Gang; Kang, Huijun; Li, Kehan; Zhao, Bo; Wang, Fei","platelet-derived exosomes alleviate knee osteoarthritis by attenuating cartilage degeneration and subchondral bone loss","american journal of sports medicine","10.1177/03635465231188122"
"373","journalArticle",2013,"Ekstrom, Karin; Omar, Omar; Graneli, Cecilia; Wang, Xiaoqin; Vazirisani, Forugh; Thomsen, Peter","monocyte exosomes stimulate the osteogenic gene expression of mesenchymal stem cells","plos one","10.1371/journal.pone.0075227"
"374","journalArticle",2023,"Zhang, Jianguo; Huang, Xingru; Xie, Jie; Fang, Jian; Fu, Huaili","exosomal mir-29a derived from bone marrow mesenchymal stem cells promotes mouse bone development and formation","journal of biomaterials and tissue engineering","10.1166/jbt.2023.3241"
"375","journalArticle",2021,"Lu, Haiping; Zhang, Yi; Xiong, Shan; Zhou, Yinghong; Xiao, Lan; Ma, Yaping; Xiao, Yin; Wang, Xin","modulatory role of silver nanoparticles and mesenchymal stem cell-derived exosome-modified barrier membrane on macrophages and osteogenesis","frontiers in chemistry","10.3389/fchem.2021.699802"
"377","journalArticle",2022,"Liao, Xian-min; Guan, Zheng; Yang, Zhen-jin; Ma, Li-ya; Dai, Ying-juan; Liang, Cun; Hu, Jiang-tian","comprehensive analysis of m2 macrophage-derived exosomes facilitating osteogenic differentiation of human periodontal ligament stem cells","bmc oral health","10.1186/s12903-022-02682-5"
"378","journalArticle",2023,"Xu, Ning; Cui, Guanzheng; Zhao, Shengyin; Li, Yu; Liu, Qian; Liu, Xuchang; Zhao, Chuanliang; Feng, Rongjie; Kuang, Mingjie; Han, Shijie","therapeutic effects of mechanical stress-induced c2c12-derived exosomes on glucocorticoid-induced osteoporosis through mir-92a-3p/pten/akt signaling pathway","international journal of nanomedicine","10.2147/IJN.S435301"
"379","journalArticle",2021,"Kong, Dece; Chen, Tianning; Zheng, Xinhui; Yang, Tieyi; Zhang, Yan; Shao, Jin","comparative profile of exosomal micrornas in postmenopausal women with various bone mineral densities by small rna sequencing","genomics","10.1016/j.ygeno.2021.03.028"
"380","journalArticle",2014,"Kato, Tomohiro; Miyaki, Shigeru; Ishitobi, Hiroyuki; Nakamura, Yoshihiro; Nakasa, Tomoyuki; Lotz, Martin K.; Ochi, Mitsuo","exosomes from il-1β stimulated synovial fibroblasts induce osteoarthritic changes in articular chondrocytes","arthritis research & therapy","10.1186/ar4679"
"381","journalArticle",2018,"Saba, Fakhredin; Soleimani, Masoud; Abroun, Saeid","new role of hypdxia in pathophysiology of multiple myeloma through mir-210","excli journal","10.17179/excli2018-1109"
"383","journalArticle",2018,"Hashimoto, Kyoko; Ochi, Hiroki; Sunamura, Satoko; Kosaka, Nobuyoshi; Mabuchi, Yo; Fukuda, Toru; Yao, Kenta; Kanda, Hiroaki; Ae, Keisuke; Okawa, Atsushi; Akazawa, Chihiro; Ochiya, Takahiro; Futakuchi, Mitsuru; Takeda, Shu; Sato, Shingo","cancer-secreted hsa-mir-940 induces an osteoblastic phenotype in the bone metastatic microenvironment via targeting arhgap1 and fam134a","proceedings of the national academy of sciences of the united states of america","10.1073/pnas.1717363115"
"384","journalArticle",2020,"Wong, Keng Lin; Zhang, Shipin; Wang, Ming; Ren, Xiafei; Afizah, Hassan; Lai, Ruenn Chai; Lim, Sai Kiang; Lee, Eng Hin; Hui, James Hoi Po; Toh, Wei Seong","intra-articular injections of mesenchymal stem cell exosomes and hyaluronic acid improve structural and mechanical properties of repaired cartilage in a rabbit model","arthroscopy-the journal of arthroscopic and related surgery","10.1016/j.arthro.2020.03.031"
"385","journalArticle",2023,"Han, Fei; Wang, Chao; Cheng, Peng; Liu, Ting; Wang, Wei-Shan","bone marrow mesenchymal stem cells derived exosomal mirnas can modulate diabetic bone-fat imbalance","frontiers in endocrinology","10.3389/fendo.2023.1149168"
"386","journalArticle",2021,"Rossi, Michela; Rana, Ippolita; Buonuomo, Paola Sabrina; Battafarano, Giulia; Mariani, Eda; D'Agostini, Matteo; Porzio, Ottavia; De Martino, Viviana; Minisola, Salvatore; Macchiaiolo, Marina; De Vito, Rita; Vecchio, Davide; Gonfiantini, Michaela Veronika; Jenkner, Alessandro; Bartuli, Andrea; Del Fattore, Andrea","dysregulated mirnas in bone cells of patients with gorham-stout disease","faseb journal","10.1096/fj.202001904RR"
"388","journalArticle",2020,"Xie, Liangkun; Guan, Zheng; Zhang, Mingzhu; Lyu, Sha; Thuaksuban, Nattawut; Kamolmattayakul, Suttatip; Nuntanaranont, Thongchai","exosomal circlpar1 promoted osteogenic differentiation of homotypic dental pulp stem cells by competitively binding to hsa-mir-31","biomed research international","10.1155/2020/6319395"
"390","journalArticle",2021,"Grosskopf, Henning; Vogel, Sarah; Mueller, Claudia Damaris; Koehling, Sebastian; Duerig, Jan-Niklas; Moeller, Stephanie; Schnabelrauch, Matthias; Rademann, Joerg; Hempel, Ute; von Bergen, Martin; Schubert, Kristin","identification of intracellular glycosaminoglycan-interacting proteins by affinity purification mass spectrometry","biological chemistry","10.1515/hsz-2021-0167"
"391","journalArticle",2023,"Zheng, Che; Wu, Yuangang; Xu, Jiawen; Liu, Yuan; Ma, Jun","exosomes from bone marrow mesenchymal stem cells ameliorate glucocorticoid-induced osteonecrosis of femoral head by transferring microrna-210 into bone microvascular endothelial cells","journal of orthopaedic surgery and research","10.1186/s13018-023-04440-x"
"392","journalArticle",2023,"Yan, Zineng; Yin, Han; Wu, Jiang; Tian, Guangzhao; Li, Muzhe; Liao, Zhiyao; He, Songlin; Deng, Haoyuan; Ning, Chao; Ding, Zhengang; Yuan, Xun; Sui, Xiang; Chen, Mingxue; Liu, Shuyun; Guo, Quanyi","engineering exosomes by three-dimensional porous scaffold culture of human umbilical cord mesenchymal stem cells promote osteochondral repair","materials today bio","10.1016/j.mtbio.2023.100549"
"394","journalArticle",2023,"Li, Yunchao; Wang, Xiaoxiao; Pan, Changyu; Yuan, Hui; Li, Xinyi; Chen, Zejun; He, Haoyu","myoblast-derived exosomal prrx2 attenuates osteoporosis via transcriptional regulation of lncrna-mir22hg to activate hippo pathway","molecular medicine","10.1186/s10020-023-00649-y"
"395","journalArticle",2023,"Han, Bo; Fang, William; Yang, Zhi; Wang, Yuntao; Zhao, Shuqing; Hoang, Ba Xuan; Vangsness, C. Thomas","enhancement of chondrogenic markers by exosomes derived from cultured human synovial fluid-derived cells: a comparative analysis of 2d and 3d conditions","biomedicines","10.3390/biomedicines11123145"
"396","conferencePaper",2022,"Kuo, Ting-You; Lin, Yen-Hong; Chen, Yi-Wen; Shie, Ming-You","preparation and characterization of 3d-printed lithium- doped calcium silicate scaffold for osteochondral regeneration","2022 ieee 22nd international conference on bioinformatics and bioengineering (bibe 2022)","10.1109/BIBE55377.2022.00038"
"397","journalArticle",2015,"Marycz, Krzysztof; Smieszek, Agnieszka; Jelen, Marta; Chrzastek, Klaudia; Grzesiak, Jakub; Meissner, Justyna","the effect of the bioactive sphingolipids s1p and c1p on multipotent stromal cells - new opportunities in regenerative medicine","cellular & molecular biology letters","10.1515/cmble-2015-0029"
"398","journalArticle",2022,"Liao, Fengchun; Liao, Ziqi; Zhang, Tao; Jiang, Weidong; Zhu, Peiqi; Zhao, Zhenchen; Shi, Henglei; Zhao, Dan; Zhou, Nuo; Huang, Xuanping","ecfc-derived exosomal thbs1 mediates angiogenesis and osteogenesis in distraction osteogenesis via the pi3k/akt/erk pathway","journal of orthopaedic translation","10.1016/j.jot.2022.08.004"
"399","journalArticle",2014,"Garimella, Rama; Washington, Laurie; Isaacson, Janalee; Vallejo, Julian; Spence, Madoka; Tawfik, Ossama; Rowe, Peter; Brotto, Marco; Perez, Raymond","extracellular membrane vesicles derived from 143b osteosarcoma cells contain pro-osteoclastogenic cargo: a novel communication mechanism in osteosarcoma bone microenvironment","translational oncology","10.1016/j.tranon.2014.04.011"
"400","journalArticle",2022,"Yang, Shuo; Sima, Jincheng; Liao, Wenbo","co-culture of bone marrow mesenchymal stem cell (bmsc) and osteoclasts regulates cell differentiation and alleviates osteoporosis by up-regulating mir-211","journal of biomaterials and tissue engineering","10.1166/jbt.2022.3042"
"401","journalArticle",2019,"Wang, Hong; Feng, Cheng; Jin, Ye; Tan, Wanye; Wei, Fulan","identification and characterization of circular rnas involved in mechanical force-induced periodontal ligament stem cells","journal of cellular physiology","10.1002/jcp.27686"
"402","journalArticle",2023,"Lu, Jinwei; Yang, Xiaohui; He, Chaofan; Chen, Yazhou; Li, Congsun; Li, Sihao; Chen, Yuewei; Wu, Yifan; Xiang, Zhihui; Kang, Jiawei; Jiang, Guangyao; Wang, Cong; Diarra, Mohamed Diaty; He, Rongxin; Feng, Gang; Yan, Ruijian","rejuvenation of tendon stem/progenitor cells for functional tendon regeneration through platelet-derived exosomes loaded with recombinant yap1","acta biomaterialia","10.1016/j.actbio.2023.02.018"
"403","journalArticle",2018,"Wang, Guiling; Zhao, Feng; Yang, Di; Wang, Jing; Qiu, Lihong; Pang, Xining","human amniotic epithelial cells regulate osteoblast differentiation through the secretion of tgfβ<sub>1</sub> and microrna-34a-5p","international journal of molecular medicine","10.3892/ijmm.2017.3261"
"404","journalArticle",2023,"Hu, Xin-Mei; Wang, Can-Can; Xiao, Yu; Jiang, Peng; Liu, Yu; Qi, Zhong-Quan","enhanced wound healing and hemostasis with exosome-loaded gelatin sponges from human umbilical cord mesenchymal stem cells","world journal of stem cells","10.4252/wjsc.v15.i9.947"
"405","journalArticle",2021,"Wang, Tingting; Meng, Shuhui; Chen, Ping; Wei, Laiyou; Liu, Cuilian; Tang, Donge; Liu, Dongzhou; Jiang, Zhenyou; Hong, Xiaoping","comprehensive analysis of differentially expressed mrna and circrna in ankylosing spondylitis patients' platelets","experimental cell research","10.1016/j.yexcr.2021.112895"
"406","journalArticle",2021,"Tian, Yihong; Chen, Junbo; Yan, Xiao; Ren, Dapeng; Liu, Meixi; Zhang, Qi; Zhang, Qiang; Yuan, Xiao","overloaded orthopedic force induces condylar subchondral bone absorption by stimulating mesenchymal stem cells differentiating into osteoclasts through mammalian target of rapamycin-regulated <i>rankl/opg</i> secretion in osteoblasts","stem cells and development","10.1089/scd.2020.0163"
"407","journalArticle",2022,"Ma, Zhijie; Song, Wei; He, Dan; Zhang, Xin; He, Yaohua; Li, Haiyan","smart μ-fiber hydrogels with macro-porous structure for sequentially promoting multiple phases of articular cartilage regeneration","advanced functional materials","10.1002/adfm.202113380"
"408","journalArticle",2021,"Guo, Shuyu; Gu, Jiawen; Ma, Junqing; Xu, Rongyao; Wu, Qingheng; Meng, Li; Liu, Haojie; Li, Lu; Xu, Yan","gata4-driven mir-206-3p signatures control orofacial bone development by regulating osteogenic and osteoclastic activity","theranostics","10.7150/thno.58052"
"410","journalArticle",2019,"Zuo, Rongtai; Kong, Lingchi; Wang, Mengwei; Wang, Wenbo; Xu, Jia; Chai, Yimin; Guan, Junjie; Kang, Qinglin","exosomes derived from human cd34<sup>+</sup> stem cells transfected with mir-26a prevent glucocorticoid-induced osteonecrosis of the femoral head by promoting angiogenesis and osteogenesis","stem cell research & therapy","10.1186/s13287-019-1426-3"
